,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,Broken Hill,-31.95,141.4333,57.7,57,0,4.63,AU,1651331292
148,Tighina,46.8306,29.4711,61.57,41,92,6.13,MD,1651331293
149,Margate,51.3813,1.3862,58.3,68,45,5.88,GB,1651331293
150,Petukhovo,55.0692,67.9019,45.55,35,99,9.44,RU,1651331294
151,Paripiranga,-10.6875,-37.8617,84.34,46,100,12.44,BR,1651331295
152,Castro,-24.7911,-50.0119,62.85,83,99,7.54,BR,1651331295
153,Hervey Bay,-25.2986,152.8535,68.02,93,62,7.0,AU,1651331296
154,Sept-Îles,50.2001,-66.3821,44.06,64,75,14.97,CA,1651331282
155,Sunrise,26.1577,-80.2861,79.02,88,75,6.91,US,1651331090
156,Lira,2.235,32.9097,74.48,63,100,3.98,UG,1651331297
157,North Bend,43.4065,-124.2243,51.24,96,100,6.91,US,1651331298
158,Ogre,56.8162,24.614,48.52,36,34,7.63,LV,1651331299
159,Yantal',56.8471,105.2542,43.16,97,100,3.6,RU,1651331300
160,Reconquista,-29.15,-59.65,57.43,62,100,7.72,AR,1651331300
161,Kapaa,22.0752,-159.319,73.11,83,20,14.97,US,1651331087
162,Kalmunai,7.4167,81.8167,83.16,78,9,7.99,LK,1651331302
163,Conceição do Araguaia,-8.2578,-49.2647,85.33,55,100,5.32,BR,1651331303
164,Kavieng,-2.5744,150.7967,82.02,73,97,1.72,PG,1651331304
165,Guerrero Negro,27.9769,-114.0611,61.05,75,55,11.81,MX,1651331305
166,Burgeo,47.6167,-57.6152,43.84,82,99,2.91,CA,1651331305
167,Clyde River,70.4692,-68.5914,13.71,71,72,3.22,CA,1651331077
168,Bambous Virieux,-20.3428,57.7575,77.25,78,40,6.91,MU,1651331185
169,Lagoa,39.05,-27.9833,61.16,85,3,12.8,PT,1651331307
170,Ancud,-41.8697,-73.8203,48.79,72,24,3.2,CL,1651331307
171,Gambēla,8.25,34.5833,84.06,62,88,1.45,ET,1651331308
172,Ufa,54.775,56.0375,52.97,39,1,2.15,RU,1651331309
173,São João da Barra,-21.6403,-41.0511,82.49,63,11,2.21,BR,1651331309
174,Labuhan,-6.8844,112.2051,79.97,85,100,10.69,ID,1651331310
175,Bonthe,7.5264,-12.505,85.64,65,96,10.2,SL,1651331310
176,Saint Paul Harbor,57.79,-152.4072,40.51,87,100,29.93,US,1651331311
177,Vila,42.0304,-8.1588,69.69,48,9,8.52,PT,1651331312
178,Ribeira Grande,38.5167,-28.7,66.6,77,75,11.5,PT,1651331133
179,Bhabhua,25.05,83.6167,94.82,11,20,4.27,IN,1651331313
180,Maningrida,-12.0667,134.2667,77.74,78,62,9.69,AU,1651331313
181,Chimoio,-19.1164,33.4833,65.95,78,4,3.44,MZ,1651331314
182,Baharly,38.4362,57.4316,74.08,44,100,14.34,TM,1651331315
183,Kommunar,59.6206,30.39,45.93,44,96,8.68,RU,1651331315
184,Chiang Kham,19.5233,100.3,80.22,85,99,2.64,TH,1651331316
185,Coquimbo,-29.9533,-71.3436,61.59,72,1,5.53,CL,1651331054
186,Marakkanam,12.2,79.95,85.59,81,44,15.7,IN,1651331317
187,Monastyrshchina,54.3496,31.838,47.79,49,97,5.99,RU,1651331318
188,Kununurra,-15.7667,128.7333,82.38,78,100,4.61,AU,1651331318
189,Faanui,-16.4833,-151.75,80.22,75,15,16.75,PF,1651331319
190,Jiuquan,39.7432,98.5174,51.94,25,80,8.41,CN,1651331319
191,Honiara,-9.4333,159.95,78.21,86,94,0.72,SB,1651331320
192,São Filipe,14.8961,-24.4956,75.24,67,94,11.65,CV,1651331320
193,Port Moresby,-9.4431,147.1797,76.62,91,99,4.61,PG,1651331321
194,Upernavik,72.7868,-56.1549,19.02,82,100,15.66,GL,1651331322
195,Beringovskiy,63.05,179.3167,24.89,96,100,13.44,RU,1651331322
196,Imbituba,-28.24,-48.6703,67.86,61,16,10.63,BR,1651331323
197,Nome,64.5011,-165.4064,41.07,61,100,12.66,US,1651331324
198,Erdenet,49.0333,104.0833,50.14,30,76,2.53,MN,1651331324
199,Mehamn,71.0357,27.8492,29.44,59,83,17.52,NO,1651331325
200,Ambilobe,-13.2,49.05,76.39,89,42,1.07,MG,1651331326
201,Hirtshals,57.5881,9.9592,50.86,56,55,4.5,DK,1651331326
202,Arrondissement de Pontarlier,46.8333,6.25,54.01,78,50,8.59,FR,1651331327
203,Kharp,66.8014,65.8081,16.92,87,58,4.18,RU,1651331327
204,Puri,19.8,85.85,84.72,88,43,20.4,IN,1651331328
205,Departamento de Maldonado,-34.6667,-54.9167,60.19,55,100,4.52,UY,1651331237
206,Havre-St-Pierre,50.2334,-63.5986,37.94,73,100,15.7,CA,1651331329
207,Elko,41.0002,-115.5012,40.64,55,22,2.59,US,1651331137
208,Moose Factory,51.2585,-80.6094,47.17,62,57,4.27,CA,1651331247
209,Linxia Chengguanzhen,35.6003,103.2064,40.98,76,100,6.78,CN,1651331330
210,Diego de Almagro,-26.3667,-70.05,72.9,28,0,4.88,CL,1651331330
211,Muş Province,39.0,41.75,62.64,61,100,4.38,TR,1651331331
212,Lázaro Cárdenas,17.9583,-102.2,79.99,54,1,2.73,MX,1651331332
213,Abu Dhabi,24.4667,54.3667,86.11,48,0,9.22,AE,1651331332
214,Nuuk,64.1835,-51.7216,23.61,63,40,18.41,GL,1651331333
215,Cayenne,4.9333,-52.3333,85.08,1,75,11.5,GF,1651331333
216,Dikson,73.5069,80.5464,17.47,93,100,17.36,RU,1651331334
217,Bellingham,48.7595,-122.4882,49.86,91,100,5.01,US,1651331069
218,Omsukchan,62.5333,155.8,13.42,98,100,3.09,RU,1651331335
219,Tura,25.5198,90.2201,68.58,95,13,7.2,IN,1651331335
220,Zyryanka,65.75,150.85,7.72,96,16,4.83,RU,1651331336
221,Norman Wells,65.282,-126.8329,36.75,81,63,6.58,CA,1651331337
222,Plettenberg Bay,-34.0527,23.3716,62.51,71,2,9.01,ZA,1651331337
223,San Patricio,28.017,-97.5169,82.35,64,5,12.33,US,1651331338
224,Tautira,-17.7333,-149.15,79.65,75,19,15.68,PF,1651331338
225,Tessalit,20.1986,1.0114,99.57,6,2,20.65,ML,1651331339
226,Vardø,70.3705,31.1107,30.02,64,100,16.58,NO,1651331340
227,Namtsy,62.7161,129.6658,19.0,94,26,3.38,RU,1651331340
228,Klaksvík,62.2266,-6.589,49.12,83,98,8.23,FO,1651331341
229,Beaufort,5.3473,115.7455,76.71,89,100,2.24,MY,1651331342
230,Great Falls,47.5002,-111.3008,48.6,68,0,6.91,US,1651331342
231,Taft,31.7471,54.2088,60.75,72,75,4.61,IR,1651331343
232,Sokoni,-6.4333,39.55,81.88,72,83,18.25,TZ,1651331344
233,Dubbo,-32.25,148.6167,46.53,93,0,6.91,AU,1651331344
234,Cartagena,10.3997,-75.5144,91.02,58,40,4.61,CO,1651331345
235,Portland,45.5234,-122.6762,54.09,91,75,4.0,US,1651330758
236,Udachny,66.4167,112.4,25.0,92,96,33.91,RU,1651331346
237,Barrow,71.2906,-156.7887,10.42,85,40,10.36,US,1651331164
238,Vysokogornyy,50.1167,139.15,19.09,97,85,1.14,RU,1651331347
239,Mount Gambier,-37.8333,140.7667,57.18,83,35,9.19,AU,1651331299
240,Price,39.5994,-110.8107,48.11,23,0,3.44,US,1651331137
241,Yumen,40.2833,97.2,50.81,17,4,6.08,CN,1651331348
242,Gweta,-20.1833,25.2333,82.04,24,7,7.94,BW,1651331349
243,Lavrentiya,65.5833,-171.0,23.45,89,100,10.18,RU,1651331350
244,Basoko,1.2391,23.616,79.12,75,88,2.21,CD,1651331351
245,Americus,32.0724,-84.2327,77.13,61,0,9.22,US,1651331351
246,Baykit,61.67,96.37,34.45,91,98,3.56,RU,1651331352
247,Altay,47.8667,88.1167,53.49,34,78,11.16,CN,1651331353
248,Bosaso,11.2842,49.1816,86.32,65,54,4.23,SO,1651331353
249,Bentiu,9.2333,29.8333,97.7,25,87,5.79,SS,1651331354
250,Hibbing,47.4272,-92.9377,42.31,55,100,14.97,US,1651331355
251,Les Escoumins,48.1111,-69.0236,33.24,84,100,9.04,CA,1651331355
252,Provideniya,64.3833,-173.3,28.0,93,100,14.88,RU,1651331203
253,Cassilândia,-19.1133,-51.7342,86.02,43,30,6.76,BR,1651331246
254,Laas,46.6166,10.7002,55.36,98,100,4.29,IT,1651331251
255,Mahébourg,-20.4081,57.7,77.29,78,40,6.91,MU,1651331357
256,Fortuna,40.5982,-124.1573,54.09,93,100,4.0,US,1651331180
257,Jieshi,22.8134,115.8257,77.95,85,100,15.32,CN,1651331358
258,Kafanchan,9.5833,8.3,92.14,31,100,3.02,NG,1651331359
259,Xinqing,48.2333,129.5,36.66,98,100,5.23,CN,1651331359
260,Port Lincoln,-34.7333,135.8667,59.13,77,2,7.76,AU,1651331175
261,Adrar,20.5022,-10.0711,94.37,7,0,7.11,MR,1651331360
262,Codrington,-38.2667,141.9667,53.83,88,37,12.8,AU,1651331324
263,Pangnirtung,66.1451,-65.7125,19.4,63,100,2.3,CA,1651331362
264,Darnah,32.767,22.6367,65.53,64,64,13.29,LY,1651331362
265,Benguela,-12.5763,13.4055,80.98,77,96,7.27,AO,1651331363
266,Talakan,50.3167,130.3667,40.41,65,97,2.46,RU,1651331364
267,Cap-aux-Meules,47.3821,-61.8597,35.65,100,100,20.71,CA,1651331161
268,Kavaratti,10.5669,72.642,85.93,72,99,11.23,IN,1651331364
269,Corrente,-3.7367,-43.3394,88.09,53,47,4.65,BR,1651331365
270,Tahoua,14.8888,5.2692,106.3,6,35,5.3,NE,1651331366
271,Husavik,66.0449,-17.3389,52.41,49,70,3.11,IS,1651331366
272,Voloshka,61.3314,40.0858,36.07,62,99,6.85,RU,1651331367
273,Lompoc,34.6391,-120.4579,66.94,84,0,18.01,US,1651331165
274,Pevek,69.7008,170.3133,-5.71,100,96,0.98,RU,1651331368
275,Bergama,39.1207,27.1805,61.95,69,60,16.22,TR,1651331369
276,Huarmey,-10.0681,-78.1522,71.58,75,87,7.63,PE,1651331370
277,Boa Vista,2.8197,-60.6733,80.58,83,40,4.61,BR,1651331283
278,Al Bardīyah,31.7561,25.0865,72.25,52,6,16.6,LY,1651331371
279,Carnarvon,-24.8667,113.6333,77.97,47,17,14.67,AU,1651331121
280,Ust-Tsilma,65.441,52.1498,32.0,72,100,7.61,RU,1651331372
281,Pisco,-13.7,-76.2167,69.03,77,54,5.75,PE,1651331372
282,Tomatlán,19.9333,-105.25,79.43,30,7,1.86,MX,1651331373
283,Aras,42.5617,-2.356,66.61,43,0,6.91,ES,1651331374
284,Chemal,51.4111,86.005,57.96,47,100,3.0,RU,1651331375
285,Waddān,29.1614,16.139,92.62,9,100,17.65,LY,1651331376
286,Pangkalanbuun,-2.6833,111.6167,76.14,94,76,1.79,ID,1651331377
287,Kargil,34.5667,76.1,49.26,43,96,4.23,IN,1651331377
288,Kieta,-6.2167,155.6333,78.82,84,74,2.24,PG,1651331378
289,Andenes,69.3143,16.1194,33.78,75,75,14.97,NO,1651331379
290,Bontang,0.1333,117.5,81.23,83,100,9.4,ID,1651331380
291,Sheboygan,43.7333,-87.9334,46.38,60,100,12.66,US,1651331158
292,‘Āhuimanu,21.4447,-157.8378,74.91,77,40,19.57,US,1651331381
293,Kamenka,51.3223,42.7678,53.94,45,98,7.36,RU,1651331382
294,George Town,5.4112,100.3354,84.13,79,20,0.0,MY,1651331276
295,Ketchikan,55.3422,-131.6461,44.58,75,0,9.22,US,1651331383
296,Progreso,21.2833,-89.6667,86.11,66,46,11.05,MX,1651331342
297,Henties Bay,-22.116,14.2845,61.99,73,0,12.93,NA,1651331384
298,Beregovoy,55.173,73.2198,53.06,45,100,14.85,RU,1651331384
299,Grindavik,63.8424,-22.4338,45.07,81,100,11.5,IS,1651331385
300,Coyhaique,-45.5752,-72.0662,47.01,81,75,6.91,CL,1651331386
301,Tekeli,44.83,78.8239,59.32,43,100,7.7,KZ,1651331386
302,Kruisfontein,-34.0033,24.7314,64.89,66,0,16.28,ZA,1651331387
303,Umm Hājar,13.2954,19.6966,105.37,12,100,10.8,TD,1651331388
304,Ensley,30.5188,-87.2728,79.92,79,75,12.66,US,1651331389
305,Agadez,19.75,10.25,103.21,5,97,8.48,NE,1651331389
306,Sheridan,44.8333,-106.9173,47.01,62,0,17.27,US,1651331390
307,Hays,30.0502,-98.0336,74.3,87,100,3.91,US,1651331391
308,The Valley,18.217,-63.0578,80.1,94,75,9.22,AI,1651331391
309,Westport,41.1415,-73.3579,59.36,29,0,10.36,US,1651331392
310,Baruun-Urt,46.6806,113.2792,46.15,68,96,16.42,MN,1651331393
311,Dingle,10.9995,122.6711,78.19,82,93,5.82,PH,1651331393
312,Salalah,17.0151,54.0924,86.09,84,75,6.91,OM,1651331394
313,Makakilo City,21.3469,-158.0858,73.72,74,0,19.57,US,1651331395
